PLZ;Ort;Netzbetreiber;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Konzessionsabgabe (ct/kWh);Verbandsnummer
89428;Syrgenstein. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
86637;Villenbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86637;Wertingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89426;Wittislingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89426;Wittislingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89446;Ziertheim. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89447;Zöschingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
86637;Zusamaltheim. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86480;Aletshausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86483;Balzhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86513;Ursberg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86488;Breitenthal. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89347;Bubesheim. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89346;Bibertal. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89331;Burgau. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.23;9900027000002
89349;Burtenbach. ;Gemeinde Burtenbach Elektrizitäts- und Wasserwerk;62;6.48;12.64;1.32;9900121000007
89349;Burtenbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86489;Deisenhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89350;Dürrlauingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86491;Ebershausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89352;Ellzee. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89312;Günzburg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89312;Günzburg. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89355;Gundremmingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89356;Haldenwang. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89335;Ichenhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89343;Jettingen-Scheppach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89358;Kammeltal. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
